파일명,실제구분,음성길이(초),길이구간,최종위험점수,AI음성확률,태도변화여부,감정변화상세(Arousal),최종판정
[SHANA]3차-(11).4차례 신고된 남성 전화금융사기범 음성 3 - 1of4.mp3,보이스피싱,46.9,40s~60s,5.0,44.9%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),보이스피싱
[SHANA]3차-(17).4차례 신고된 남성 전화금융사기범 음성 9 - 3of4.mp3,보이스피싱,94.6,1m20s~,4.16,73.3%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.40),보이스피싱
[SHANA]3차-(10).4차례 신고된 남성 전화금융사기범 음성 2 - 3of4.mp3,보이스피싱,51.8,40s~60s,5.0,55.1%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),보이스피싱
[SHANA]3차-(16).4차례 신고된 남성 전화금융사기범 음성 8 - 1of4.mp3,보이스피싱,107.6,1m20s~,5.0,72.8%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.43),보이스피싱
[SHANA]바로 이 목소리_4차례 신고된 남성 전화금융사기범 음성_2 - 4of4.mp3,보이스피싱,35.4,20s~40s,3.97,70.7%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.43),보이스피싱
[SHANA]3차-(15).4차례 신고된 남성 전화금융사기범 음성 7 - 4of4.mp3,보이스피싱,77.8,1m~1m20s,5.0,73.3%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.39),보이스피싱
[SHANA]바로 이 목소리_6차례 신고된 남성 전화금융사기범 음성 - 5of6.mp3,보이스피싱,49.2,40s~60s,3.01,77.7%,N,변화 없음 (안정적 상태 유지),정상
[SHANA]3차-(4).5차례 신고된 남성 전화금융사기범 음성 2 - 4of5.mp3,보이스피싱,75.7,1m~1m20s,5.0,58.0%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.42),보이스피싱
[SHANA]바로 이 목소리_4차례 신고된 남성 전화금융사기범 음성_1 - 1of4.mp3,보이스피싱,57.6,40s~60s,4.64,74.9%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.37),보이스피싱
[SHANA]바로 이 목소리_사례7_F - 2of2.mp3,보이스피싱,41.1,40s~60s,3.65,27.1%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.50),보이스피싱
[SHANA]바로 이 목소리 사례9_F - 2of2.mp3,보이스피싱,53.2,40s~60s,5.0,55.7%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.50),보이스피싱
[SHANA]바로 이 목소리_5차례 신고된 남성 전화금융사기범 음성_1 - 5of5.mp3,보이스피싱,38.8,20s~40s,1.41,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.36),정상
[SHANA]3차-(6).5차례 신고된 남성 전화금융사기범 음성 4 - 1of4.mp3,보이스피싱,75.0,1m~1m20s,3.15,58.0%,N,변화 없음 (안정적 상태 유지),정상
[SHANA]3차-(13).4차례 신고된 남성 전화금융사기범 음성 5 - 4of4.mp3,보이스피싱,56.9,40s~60s,4.91,67.0%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.43),보이스피싱
[SHANA]바로 이 목소리 사례1_F - 3of3.mp3,보이스피싱,44.9,40s~60s,2.72,62.7%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.48),정상
[SHANA]3차-(8).5차례 신고된 여성 전화금융사기범 음성 2_수정해야함!! - 4of4.mp3,보이스피싱,49.6,40s~60s,5.0,59.5%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.50),보이스피싱
[SHANA]바로 이 목소리_사례8_F - 1of2.mp3,보이스피싱,90.2,1m20s~,4.91,44.2%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.50),보이스피싱
[SHANA]바로 이 목소리 사례6_F - 1of2.mp3,보이스피싱,35.4,20s~40s,2.5,67.5%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.43),정상
[SHANA]3차-(12).4차례 신고된 남성 전화금융사기범 음성 4 - 4of4.mp3,보이스피싱,62.6,1m~1m20s,5.0,54.7%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.50),보이스피싱
[SHANA]3차-(3).5차례 신고된 남성 전화금융사기범 음성 1 - 4of5.mp3,보이스피싱,25.6,20s~40s,2.0,66.3%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.48),정상
[SHANA]바로 이 목소리_4차례 신고된 남성 전화금융사기범 음성_1 - 3of4.mp3,보이스피싱,43.4,40s~60s,5.0,60.2%,N,변화 없음 (안정적 상태 유지),보이스피싱
[SHANA]UCC_[사이버경찰청_수사관_사칭_감기오셨어요_부산사나이의_화끈한_대처법].mp3,보이스피싱,242.0,1m20s~,4.25,64.7%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.50),보이스피싱
[SHANA]3차-(6).5차례 신고된 남성 전화금융사기범 음성 4 - 3of4.mp3,보이스피싱,122.2,1m20s~,5.0,61.3%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.47),보이스피싱
[SHANA]바로 이 목소리 사례1_F - 1of3.mp3,보이스피싱,44.1,40s~60s,0.65,N/A,N,변화 없음 (안정적 상태 유지),정상
[SHANA]출입국 관리 사무국 직원 사칭(여름 휴가철 보이스피싱_1).mp3,보이스피싱,137.9,1m20s~,3.82,63.2%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.49),보이스피싱
[SHANA]3차-(14).4차례 신고된 남성 전화금융사기범 음성 6 - 4of4.mp3,보이스피싱,70.4,1m~1m20s,5.0,55.1%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.44),보이스피싱
[SHANA]3차-(17).4차례 신고된 남성 전화금융사기범 음성 9 - 1of4.mp3,보이스피싱,128.7,1m20s~,3.27,50.3%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.46),정상
[SHANA]NR0137_ 검찰사칭  [검찰수사관 사칭 횡설수설 보이스피싱].mp3,보이스피싱,217.8,1m20s~,4.45,68.3%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.47),보이스피싱
